,date,home,away,score,play_round,home_goals,away_goals,url,home_manager,away_manager,home_sheet,away_sheet
297,26/12/2004,Stockport County,Bristol City,1:2,23,1,2,unknown,,,[],[]
298,26/12/2004,Tranmere Rovers,Barnsley FC,1:1,23,1,1,unknown,,,[],[]
300,28/12/2004,AFC Bournemouth,Huddersfield Town,2:2,24,2,2,unknown,,,[],[]
301,28/12/2004,Barnsley FC,Stockport County,3:3,24,3,3,unknown,,,[],[]
302,28/12/2004,Bristol City,Hartlepool United,0:0,24,0,0,unknown,,,[],[]
303,28/12/2004,Luton Town,Colchester United,2:2,24,2,2,unknown,,,[],[]
304,28/12/2004,Milton Keynes Dons,Blackpool FC,3:1,24,3,1,unknown,,,[],[]
305,28/12/2004,Oldham Athletic,Peterborough United,2:1,24,2,1,unknown,,,[],[]
306,28/12/2004,Port Vale FC,Sheffield Wednesday,0:2,24,0,2,unknown,,,[],[]
307,28/12/2004,Swindon Town,Brentford FC,3:0,24,3,0,unknown,,,[],[]
308,28/12/2004,Torquay United,Bradford City,0:0,24,0,0,unknown,,,[],[]
309,28/12/2004,Walsall FC,Tranmere Rovers,0:2,24,0,2,unknown,,,[],[]
310,28/12/2004,Wrexham AFC,Chesterfield FC,3:1,24,3,1,unknown,,,[],[]
311,29/12/2004,Hull City,Doncaster Rovers,2:1,24,2,1,unknown,,,[],[]
313,01/01/2005,AFC Bournemouth,Brentford FC,3:2,25,3,2,unknown,,,[],[]
314,01/01/2005,Barnsley FC,Hartlepool United,0:0,25,0,0,unknown,,,[],[]
315,01/01/2005,Bristol City,Peterborough United,2:0,25,2,0,unknown,,,[],[]
316,01/01/2005,Hull City,Huddersfield Town,2:1,25,2,1,unknown,,,[],[]
317,01/01/2005,Luton Town,Sheffield Wednesday,1:1,25,1,1,unknown,,,[],[]
318,01/01/2005,Milton Keynes Dons,Chesterfield FC,1:1,25,1,1,unknown,,,[],[]
319,01/01/2005,Oldham Athletic,Tranmere Rovers,2:2,25,2,2,unknown,,,[],[]
320,01/01/2005,Port Vale FC,Bradford City,0:1,25,0,1,unknown,,,[],[]
321,01/01/2005,Swindon Town,Colchester United,0:3,25,0,3,unknown,,,[],[]
